category,Users,Volume,Transactions
1613174400000,1000,1000,1000
1613088000000,694,694,694
1613001600000,1301,1301,1301
1612915200000,583,583,583
1612828800000,302,302,302
1612742400000,546,546,546
1612656000000,739,739,739
1612569600000,1151,1151,1151
1612483200000,464,464,464
1612396800000,197,197,197
1612310400000,479,479,479
1612224000000,495,495,495
1612137600000,422,422,422
1612051200000,1759,1759,1759
1611964800000,785,785,785
1611878400000,146,146,146
1611792000000,417,417,417
1611705600000,580,580,580
1611619200000,584,584,584
1611532800000,387,387,387
1611446400000,887,887,887
1611360000000,701,701,701
1611273600000,310,310,310
1611187200000,619,619,619
1611100800000,388,388,388
1611014400000,270,270,270
1610928000000,779,779,779
1610841600000,933,933,933
1610755200000,534,534,534
1610668800000,838,838,838
1610582400000,604,604,604
1610496000000,1144,1144,1144
1610409600000,819,819,819
1610323200000,116,116,116
1610236800000,800,800,800
1610150400000,790,790,790
1610064000000,243,243,243
1609977600000,260,260,260
1609891200000,335,335,335
1609804800000,258,258,258
1609718400000,132,132,132
1609632000000,352,352,352
1609545600000,831,831,831
1609459200000,1224,1224,1224
1609372800000,548,548,548
1609286400000,364,364,364
1609200000000,689,689,689
1609113600000,827,827,827
1609027200000,836,836,836
1608940800000,1070,1070,1070
1608854400000,885,885,885
1608768000000,1101,1101,1101
1608681600000,771,771,771
1608595200000,1462,1462,1462
1608508800000,1397,1397,1397
1608422400000,2676,2676,2676
1608336000000,1949,1949,1949
1608249600000,1560,1560,1560
1608163200000,357,357,357
1608076800000,1065,1065,1065
1607990400000,1080,1080,1080
1607904000000,1935,1935,1935
1607817600000,2311,2311,2311
1607731200000,2347,2347,2347
1607644800000,1378,1378,1378
1607558400000,2096,2096,2096
1607472000000,1757,1757,1757
1607385600000,2451,2451,2451
1607299200000,1362,1362,1362
1607212800000,2268,2268,2268
1607126400000,2031,2031,2031
1607040000000,1218,1218,1218
1606953600000,1623,1623,1623
1606867200000,1731,1731,1731
1606780800000,1172,1172,1172
1606694400000,1411,1411,1411
1606608000000,2011,2011,2011
1606521600000,1856,1856,1856
1606435200000,1852,1852,1852
1606348800000,1029,1029,1029
1606262400000,1475,1475,1475
1606176000000,1078,1078,1078
1606089600000,1226,1226,1226
1606003200000,1549,1549,1549
1605916800000,1339,1339,1339
1605830400000,1104,1104,1104
1605744000000,2063,2063,2063
1605657600000,1245,1245,1245
1605571200000,1249,1249,1249
1605484800000,1484,1484,1484
1605398400000,2504,2504,2504
1605312000000,1937,1937,1937
1605225600000,1366,1366,1366
1605139200000,1353,1353,1353
1605052800000,1511,1511,1511
1604966400000,6341,6341,6341
1604880000000,1362,1362,1362
1604793600000,1545,1545,1545
1604707200000,1026,1026,1026
1604620800000,904,904,904
1604534400000,916,916,916
1604448000000,1205,1205,1205
1604361600000,1150,1150,1150
1604275200000,1076,1076,1076
1604188800000,1131,1131,1131
1604102400000,1134,1134,1134
1604016000000,923,923,923
1603929600000,950,950,950
1603843200000,2056,2056,2056
1603756800000,1066,1066,1066
1603670400000,2332,2332,2332
1603584000000,838,838,838
1603497600000,878,878,878
1603411200000,883,883,883
1603324800000,694,694,694
1603238400000,643,643,643
1603152000000,659,659,659
1603065600000,715,715,715
1602979200000,762,762,762
1602892800000,926,926,926
1602806400000,721,721,721
1602720000000,593,593,593
1602633600000,567,567,567
1602547200000,657,657,657
1602460800000,716,716,716
1602374400000,776,776,776
1602288000000,822,822,822
1602201600000,695,695,695
1602115200000,488,488,488
1602028800000,513,513,513
1601942400000,553,553,553
1601856000000,638,638,638
1601769600000,575,575,575
1601683200000,595,595,595
1601596800000,526,526,526
1601510400000,583,583,583
1601424000000,549,549,549
1601337600000,381,381,381
1601251200000,443,443,443
1601164800000,707,707,707
1601078400000,596,596,596
1600992000000,609,609,609
1600905600000,468,468,468
1600819200000,790,790,790
1600732800000,1112,1112,1112
1600646400000,233,233,233
1600560000000,358,358,358
1600473600000,349,349,349
1600387200000,111,111,111
1600300800000,110,110,110
1600214400000,171,171,171
1600128000000,165,165,165
1600041600000,168,168,168
1599955200000,195,195,195
1599868800000,340,340,340
1599782400000,212,212,212
1599696000000,160,160,160
1599609600000,205,205,205
1599523200000,219,219,219
1599436800000,223,223,223
1599350400000,351,351,351
1599264000000,123,123,123
1599177600000,315,315,315
1599091200000,190,190,190
1599004800000,263,263,263
1598918400000,77,77,77
1598832000000,239,239,239
1598745600000,128,128,128
1598659200000,257,257,257
1598572800000,362,362,362
1598486400000,210,210,210
1598400000000,155,155,155
1598313600000,140,140,140
1598227200000,200,200,200
1598140800000,240,240,240
1598054400000,261,261,261
1597968000000,119,119,119
1597881600000,173,173,173
1597795200000,134,134,134
1597708800000,172,172,172
1597622400000,225,225,225
1597536000000,218,218,218
1597449600000,217,217,217
1597363200000,158,158,158
1597276800000,142,142,142
1597190400000,62,62,62
1597104000000,424,424,424
1597017600000,341,341,341
1596931200000,406,406,406
1596844800000,400,400,400
1596758400000,474,474,474
1596672000000,578,578,578
1596585600000,559,559,559
1596499200000,278,278,278
1596412800000,295,295,295
1596326400000,238,238,238
1596240000000,128,128,128
1596153600000,81,81,81
1596067200000,74,74,74
1595980800000,140,140,140
1595894400000,277,277,277
1595808000000,123,123,123
1595721600000,163,163,163
1595635200000,158,158,158
1595548800000,108,108,108
