txHash,id,image,class,chain,name,birthDate,bodyShape,sireId,sireClass,matronId,matronClass,stage,title,breedCount,level,hp,speed,skill,morale,from,to,timestamp,withPrice,withPriceUsd
0x8c80e4d730cb13b445a5da19b6f1b8ec1b9fa05271e7530a4c9393fa1680c46b,5101241,https://storage.googleapis.com/assets.axieinfinity.com/axies/5101241/axie/axie-full-transparent.png,Aquatic,ronin,Axie #5101241,1630055258,Fuzzy,47547,Aquatic,47680,Aquatic,4,,4,1,47,54,35,28,0x1205b46447132d40d80e42165f8be8facec1394b,0x2436d126a77e4f7ac0b19005115daac05dbbe18a,1631978300,0.07,219.37037500000002
0x219d4712f7e6c20366800e0e2b1aa8a783d810f7342111c24cac1ab9d65a74f9,5101241,https://storage.googleapis.com/assets.axieinfinity.com/axies/5101241/axie/axie-full-transparent.png,Aquatic,ronin,Axie #5101241,1630055258,Fuzzy,47547,Aquatic,47680,Aquatic,4,,4,1,47,54,35,28,0x59a692090c0b1317fd637698703eef280a498ba3,0x1205b46447132d40d80e42165f8be8facec1394b,1630949988,0.13261065,415.583537332176
0x7dc637c0ea7230c07e0d3555b484f47ed423549e1f685acc4f9c5a1a7dec58c5,6191175,https://storage.googleapis.com/assets.axieinfinity.com/axies/6191175/axie/axie-full-transparent.png,Beast,ronin,Axie #6191175,1631774471,Normal,48880,Beast,9812,Beast,4,,4,1,31,41,31,61,0xcd74d8854de17c9d87f75e4aa9c446faff0f2c68,0xf5596eacb0b0218d80b0441940c7492fe7766cca,1632406458,0.1,313.38625
0x787763602a8c6e002bb8495370f80cf24fd0f7ce60da54556357eaf3989d6eb9,2602763,https://storage.googleapis.com/assets.axieinfinity.com/axies/2602763/axie/axie-full-transparent.png,Plant,ronin,Axie #1 Gran,1626972742,Fuzzy,7851,Plant,36831,Plant,4,,2,1,61,32,31,40,0xaff3f667b7a64289da0d2e4cf9ccf51a00c511fe,0x939d8bf13f4e71f6442ee9cf0144e86e95c8c752,1632419370,0.059,184.8978875
0xafca3d4929694b0ed07c3f9631485014baf674a4caa5b4a2a1017d21d5c9e3ec,2602763,https://storage.googleapis.com/assets.axieinfinity.com/axies/2602763/axie/axie-full-transparent.png,Plant,ronin,Axie #1 Gran,1626972742,Fuzzy,7851,Plant,36831,Plant,4,,2,1,61,32,31,40,0x1072166a2264e115856271123491639a720f6fc0,0xaff3f667b7a64289da0d2e4cf9ccf51a00c511fe,1630007855,0.09200001,288.31535
0x637fe2d3ca368b72bd6113bdbcbaa275afbadd911c285c973085409f6ed0f13c,3167507,https://storage.googleapis.com/assets.axieinfinity.com/axies/3167507/axie/axie-full-transparent.png,Bug,ronin,Astrea,1627775193,Normal,34216,Bug,32419,Bug,4,,2,1,44,36,35,49,0x81461b66c7b4ec2af729f816699401e33c93369a,0x3104e9fd9f9c5302d9fd67b1ed2705d800ec5343,1632419304,0.040999997,128.48836250000002
0xee349bd25c7e0acb454adc275773c856186d104fbb2fd3dfed90506842586f7a,3167507,https://storage.googleapis.com/assets.axieinfinity.com/axies/3167507/axie/axie-full-transparent.png,Bug,ronin,Astrea,1627775193,Normal,34216,Bug,32419,Bug,4,,2,1,44,36,35,49,0x57ade666459ad547bace57b137f51556ef11d789,0x81461b66c7b4ec2af729f816699401e33c93369a,1628214074,0.147,460.6777875
0x787763602a8c6e002bb8495370f80cf24fd0f7ce60da54556357eaf3989d6eb9,2602763,https://storage.googleapis.com/assets.axieinfinity.com/axies/2602763/axie/axie-full-transparent.png,Plant,ronin,Axie #1 Gran,1626972742,Fuzzy,7851,Plant,36831,Plant,4,,2,1,61,32,31,40,0xaff3f667b7a64289da0d2e4cf9ccf51a00c511fe,0x939d8bf13f4e71f6442ee9cf0144e86e95c8c752,1632419370,0.059,184.8978875
0xafca3d4929694b0ed07c3f9631485014baf674a4caa5b4a2a1017d21d5c9e3ec,2602763,https://storage.googleapis.com/assets.axieinfinity.com/axies/2602763/axie/axie-full-transparent.png,Plant,ronin,Axie #1 Gran,1626972742,Fuzzy,7851,Plant,36831,Plant,4,,2,1,61,32,31,40,0x1072166a2264e115856271123491639a720f6fc0,0xaff3f667b7a64289da0d2e4cf9ccf51a00c511fe,1630007855,0.09200001,288.31535
0x637fe2d3ca368b72bd6113bdbcbaa275afbadd911c285c973085409f6ed0f13c,3167507,https://storage.googleapis.com/assets.axieinfinity.com/axies/3167507/axie/axie-full-transparent.png,Bug,ronin,Astrea,1627775193,Normal,34216,Bug,32419,Bug,4,,2,1,44,36,35,49,0x81461b66c7b4ec2af729f816699401e33c93369a,0x3104e9fd9f9c5302d9fd67b1ed2705d800ec5343,1632419304,0.040999997,128.48836250000002
